Year,2008.0
CANON KABUSHIKI KAISHA,1293.1975411839674
EASTMAN KODAK COMPANY,338.44553648573026
GENERAL ELECTRIC COMPANY,824.79090781543
"HITACHI, LTD.",647.1174654540108
INTEL CORPORATION,203.92515495837688
INTERNATIONAL BUSINESS MACHINES CORPORATION,1774.8907219914536
KABUSHIKI KAISHA TOSHIBA,872.9594549414444
"MICRON TECHNOLOGY, INC.",374.7884233156093
MITSUBISHI DENKI KABUSHIKI KAISHA,462.8741764481945
NEC CORPORATION,728.2463139833803
RCA CORPORATION,289.1865023087035
"SAMSUNG ELECTRONICS CO., LTD.",387.5668072202324
SONY CORPORATION,151.59121333820127
U.S. PHILIPS CORPORATION,251.43233934755443
